ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
1000816,F,Y,Y,0,151300.0,Pensioner,Academic degree,Widow,House / apartment,-22127,365243,0,0,0,Sales staff,1
1000817,F,Y,N,0,244800.0,Commercial associate,Incomplete higher,Married,House / apartment,-11902,-7474,0,0,0,Sales staff,2
1000818,M,N,N,0,190500.0,Working,Secondary / secondary special,Married,House / apartment,-14079,-8187,1,1,0,Sales staff,2
1000819,M,N,Y,0,219400.0,Working,Secondary / secondary special,Single / not married,House / apartment,-19953,-527,1,1,0,High skill tech staff,1
1000820,M,N,Y,0,132400.0,Working,Secondary / secondary special,Married,Rented apartment,-20083,-1054,1,1,0,Other,2
1000821,F,N,Y,3,343000.0,Working,Secondary / secondary special,Married,With parents,-11660,-2256,0,1,0,Accountants,5
1000822,M,N,Y,0,263900.0,Working,Secondary / secondary special,Married,House / apartment,-18371,-2238,1,1,0,Accountants,2
1000823,M,N,Y,0,195300.0,Commercial associate,Lower secondary,Single / not married,House / apartment,-24022,-339,0,1,0,Accountants,1
1000824,M,N,Y,2,111300.0,Working,Lower secondary,Married,House / apartment,-11679,-1720,0,1,0,Laborers,4
1000825,F,Y,N,1,232600.0,Commercial associate,Incomplete higher,Married,House / apartment,-24415,-6992,0,0,0,Managers,3
1000826,F,N,Y,1,191500.0,Working,Secondary / secondary special,Married,Office apartment,-9099,-3129,0,0,0,Other,3
1000827,M,Y,N,1,247100.0,Working,Secondary / secondary special,Married,House / apartment,-20767,-8433,1,1,0,Managers,3
1000828,M,Y,Y,2,106400.0,Working,Higher education,Married,With parents,-11058,-5669,0,0,0,Accountants,4
1000829,F,N,Y,2,44000.0,Student,Higher education,Married,Office apartment,-20033,-346,0,0,0,Core staff,4
1000830,F,N,Y,1,83700.0,Working,Secondary / secondary special,Separated,House / apartment,-18959,-3106,0,1,0,High skill tech staff,2
1000831,M,N,Y,2,207500.0,Working,Higher education,Married,House / apartment,-19010,-2418,1,0,0,Drivers,4
1000832,F,Y,Y,0,231000.0,Commercial associate,Higher education,Single / not married,House / apartment,-17641,-8421,1,0,0,Core staff,1
1000833,M,N,Y,0,201300.0,Pensioner,Higher education,Single / not married,House / apartment,-23269,365243,0,1,0,Sales staff,1
1000834,M,N,Y,2,55100.0,Pensioner,Higher education,Married,House / apartment,-20875,365243,0,0,0,Sales staff,4
1000835,F,N,Y,0,355100.0,Commercial associate,Higher education,Married,Co-op apartment,-19154,-5783,1,1,1,Sales staff,2
1000836,M,Y,N,2,72700.0,Working,Secondary / secondary special,Separated,Office apartment,-19272,-3289,1,1,0,Drivers,3
1000837,F,Y,N,0,128500.0,Commercial associate,Higher education,Married,House / apartment,-13854,-4427,0,0,0,Other,2
1000838,M,N,Y,0,49600.0,Pensioner,Secondary / secondary special,Married,With parents,-19918,365243,0,0,0,Accountants,2
1000839,F,Y,Y,3,261000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20298,-4265,1,0,0,High skill tech staff,5
1000840,F,N,Y,0,94300.0,State servant,Secondary / secondary special,Married,House / apartment,-21553,-401,0,1,1,Managers,2
1000841,M,N,N,3,95100.0,Working,Secondary / secondary special,Married,House / apartment,-15181,-3450,1,0,0,Drivers,5
1000842,F,Y,Y,3,192800.0,Working,Academic degree,Married,House / apartment,-19072,-5575,0,1,0,High skill tech staff,5
1000843,M,Y,Y,2,139000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-19762,365243,0,0,1,Medicine staff,4
1000844,F,Y,Y,1,243300.0,Commercial associate,Lower secondary,Single / not married,House / apartment,-19784,-2179,0,0,1,Other,2
1000845,M,N,Y,1,169800.0,Working,Secondary / secondary special,Separated,House / apartment,-10351,-1697,0,0,0,Core staff,2
1000846,M,Y,Y,2,295200.0,Working,Secondary / secondary special,Married,House / apartment,-13185,-7410,1,0,0,Medicine staff,4
1000847,M,N,N,2,126100.0,Pensioner,Higher education,Married,House / apartment,-20110,365243,1,0,0,Medicine staff,4
1000848,F,N,N,1,230800.0,Working,Secondary / secondary special,Single / not married,House / apartment,-15826,-1366,1,1,0,Accountants,2
1000849,F,N,Y,4,189000.0,Working,Higher education,Married,House / apartment,-15459,-2500,0,0,0,Managers,6
1000850,F,Y,Y,1,110800.0,Working,Secondary / secondary special,Married,House / apartment,-18781,-4793,0,0,0,Other,3
1000851,M,Y,Y,3,190800.0,State servant,Incomplete higher,Civil marriage,Rented apartment,-18127,-8726,0,1,0,Accountants,5
1000852,F,N,Y,0,123300.0,State servant,Secondary / secondary special,Separated,House / apartment,-21394,-6195,1,1,0,Drivers,1
1000853,M,N,N,0,174300.0,Working,Higher education,Single / not married,With parents,-14534,-7398,0,0,0,Managers,1
1000854,F,N,Y,0,265700.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-23815,-4298,0,0,0,High skill tech staff,2
1000855,M,Y,Y,0,57700.0,Working,Higher education,Married,House / apartment,-20785,-6622,0,0,0,High skill tech staff,2
1000856,M,Y,Y,2,78600.0,Working,Higher education,Married,House / apartment,-25548,-1405,0,1,0,Other,4
1000857,M,N,N,0,158200.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,-10881,365243,0,1,0,Accountants,2
1000858,F,Y,Y,3,138200.0,Working,Secondary / secondary special,Married,House / apartment,-20196,-5644,0,0,1,Laborers,5
1000859,F,N,Y,0,141200.0,Working,Higher education,Married,House / apartment,-8023,-8062,0,0,0,Managers,2
1000860,M,N,Y,0,254000.0,Commercial associate,Lower secondary,Married,Municipal apartment,-19697,-417,0,1,0,Managers,2
1000861,F,Y,Y,0,155700.0,Working,Secondary / secondary special,Married,House / apartment,-13798,-8525,0,0,0,Drivers,2
1000862,F,N,N,1,206300.0,Working,Higher education,Separated,Municipal apartment,-16982,-8304,0,0,0,Drivers,2
1000863,F,N,Y,0,235700.0,Commercial associate,Higher education,Separated,With parents,-12158,-5709,1,0,1,Managers,1
1000864,M,Y,Y,0,256700.0,Commercial associate,Higher education,Single / not married,House / apartment,-9135,-8041,0,0,0,Sales staff,1
1000865,M,N,Y,1,135800.0,Working,Academic degree,Married,Co-op apartment,-14421,-7896,1,0,1,High skill tech staff,3
1000866,F,Y,N,0,192200.0,Working,Higher education,Married,House / apartment,-22707,-8705,0,0,0,Core staff,2
1000867,M,Y,Y,0,332800.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,-10654,-3398,0,1,0,Other,1
1000868,M,Y,Y,2,128200.0,State servant,Higher education,Single / not married,House / apartment,-9788,-396,0,1,0,High skill tech staff,3
1000869,F,N,Y,0,237700.0,Working,Secondary / secondary special,Single / not married,House / apartment,-15068,-2126,0,0,1,Drivers,1
1000870,F,N,N,0,157100.0,State servant,Higher education,Married,House / apartment,-25529,-6803,0,0,0,Sales staff,2
1000871,M,N,N,0,301700.0,Commercial associate,Lower secondary,Single / not married,With parents,-15544,-5844,1,0,0,Managers,1
1000872,M,Y,N,0,125400.0,Pensioner,Incomplete higher,Separated,House / apartment,-21652,365243,0,0,0,High skill tech staff,1
1000873,F,N,Y,1,177900.0,Working,Secondary / secondary special,Married,House / apartment,-24824,-5753,0,0,0,Sales staff,3
1000874,M,Y,Y,0,202000.0,Working,Secondary / secondary special,Married,House / apartment,-9278,-3749,1,1,1,Accountants,2
1000875,M,N,N,2,256500.0,Working,Higher education,Married,House / apartment,-15539,-508,0,0,0,Drivers,4
1000876,M,N,Y,2,194900.0,Working,Higher education,Single / not married,House / apartment,-10142,-8092,0,0,0,Laborers,3
1000877,F,Y,Y,0,186800.0,State servant,Secondary / secondary special,Married,House / apartment,-17092,-8025,0,1,0,Other,2
1000878,F,Y,N,4,156800.0,Working,Secondary / secondary special,Separated,House / apartment,-16514,-6519,1,1,0,Other,5
1000879,M,N,Y,0,372000.0,Commercial associate,Higher education,Married,Municipal apartment,-9174,-1952,0,0,0,Laborers,2
1000880,M,Y,Y,0,220300.0,Working,Higher education,Civil marriage,House / apartment,-19334,-1956,0,0,0,Managers,2
1000881,M,N,N,0,246500.0,Commercial associate,Incomplete higher,Married,Office apartment,-10421,-7020,1,0,0,Managers,2
1000882,F,Y,N,0,172300.0,Working,Lower secondary,Married,House / apartment,-10740,-8433,0,0,0,Medicine staff,2
1000883,M,Y,Y,1,241600.0,Working,Secondary / secondary special,Civil marriage,With parents,-17614,-5038,0,1,0,Core staff,3
1000884,M,N,Y,0,141800.0,Working,Incomplete higher,Separated,House / apartment,-14678,-3623,1,1,0,Accountants,1
1000885,F,N,Y,2,45100.0,Pensioner,Higher education,Widow,House / apartment,-8942,365243,0,0,0,Medicine staff,3
1000886,M,N,Y,1,184600.0,Working,Lower secondary,Married,Municipal apartment,-8708,-8333,0,1,1,Sales staff,3
1000887,F,Y,Y,0,255000.0,Working,Secondary / secondary special,Married,House / apartment,-23527,-3895,0,0,0,Sales staff,2
1000888,M,Y,Y,1,280300.0,Working,Secondary / secondary special,Married,House / apartment,-22450,-307,0,0,1,Other,3
1000889,M,Y,N,3,154000.0,State servant,Higher education,Married,House / apartment,-22957,-6572,0,0,0,Medicine staff,5
1000890,M,N,N,0,243700.0,Commercial associate,Lower secondary,Married,With parents,-11644,-1623,1,0,0,Laborers,2
1000891,F,N,N,0,283600.0,Commercial associate,Incomplete higher,Married,House / apartment,-24992,-6937,0,1,0,Core staff,2
1000892,F,N,Y,0,217800.0,Commercial associate,Higher education,Separated,House / apartment,-18022,-1881,0,1,1,Managers,1
1000893,F,N,Y,0,212500.0,Working,Secondary / secondary special,Married,House / apartment,-23352,-6505,1,0,0,High skill tech staff,2
1000894,M,Y,N,0,232800.0,Commercial associate,Higher education,Single / not married,House / apartment,-15539,-8388,1,1,0,Sales staff,1
1000895,F,N,Y,0,243700.0,Working,Incomplete higher,Single / not married,House / apartment,-10523,-5024,0,0,0,Managers,1
1000896,M,N,Y,1,225500.0,Working,Higher education,Married,Municipal apartment,-24309,-7890,0,1,0,Managers,3
1000897,M,N,Y,1,308100.0,Commercial associate,Higher education,Widow,Rented apartment,-19899,-8735,0,1,1,Accountants,2
1000898,F,Y,N,1,222800.0,Commercial associate,Secondary / secondary special,Married,Office apartment,-18898,-8628,1,0,0,Accountants,3
1000899,M,Y,N,0,301300.0,Working,Higher education,Separated,Municipal apartment,-8873,-2646,0,1,1,Accountants,1
1000900,M,N,Y,0,210500.0,Working,Higher education,Widow,Rented apartment,-12794,-8933,0,0,0,Managers,1
1000901,M,Y,N,0,130400.0,Pensioner,Academic degree,Widow,Municipal apartment,-13957,365243,0,1,0,Drivers,1
1000902,M,Y,Y,0,176100.0,Commercial associate,Higher education,Single / not married,Office apartment,-11640,-5289,0,0,0,Managers,1
1000903,M,Y,Y,3,173900.0,Working,Higher education,Married,Municipal apartment,-17451,-1566,0,0,0,Other,5
1000904,F,N,N,0,187200.0,Working,Academic degree,Married,House / apartment,-14586,-1920,0,1,0,Managers,2
1000905,M,Y,N,0,115900.0,State servant,Secondary / secondary special,Married,House / apartment,-10846,-987,0,1,0,Laborers,2
1000906,F,Y,Y,0,107700.0,Pensioner,Secondary / secondary special,Married,House / apartment,-16454,365243,1,1,0,Medicine staff,2
1000907,F,Y,Y,2,37700.0,Student,Higher education,Civil marriage,House / apartment,-15383,-399,1,1,0,High skill tech staff,4
1000908,M,N,N,2,183500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-15869,-2489,1,0,0,Core staff,3
1000909,M,N,N,0,68900.0,Working,Secondary / secondary special,Married,With parents,-21054,-781,0,1,1,Laborers,2
1000910,M,N,N,0,171500.0,Working,Incomplete higher,Married,House / apartment,-10959,-5923,1,0,0,Accountants,2
1000911,F,N,Y,0,208300.0,Commercial associate,Higher education,Married,House / apartment,-13779,-7111,0,0,0,Medicine staff,2
1000912,M,N,N,1,178700.0,Working,Secondary / secondary special,Married,House / apartment,-12309,-3651,0,0,0,Other,3
1000913,F,Y,N,4,245200.0,Working,Secondary / secondary special,Married,Rented apartment,-8894,-7017,0,1,0,Managers,6
1000914,M,Y,Y,1,309300.0,Working,Secondary / secondary special,Single / not married,House / apartment,-19040,-7353,0,1,0,Accountants,2
1000915,F,Y,N,1,297000.0,Commercial associate,Higher education,Single / not married,House / apartment,-17533,-41,0,1,0,Drivers,2
1000916,M,Y,Y,0,102200.0,Working,Secondary / secondary special,Married,Municipal apartment,-18507,-4297,1,0,0,Core staff,2
1000917,M,Y,Y,0,211000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,-24390,-3628,0,0,0,Sales staff,1
1000918,F,N,Y,2,145000.0,Pensioner,Higher education,Single / not married,House / apartment,-22175,365243,1,1,1,Medicine staff,3
1000919,F,N,Y,0,280600.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14990,-3475,0,0,0,Drivers,2
1000920,M,N,Y,4,242200.0,Working,Secondary / secondary special,Widow,Municipal apartment,-12813,-4436,1,0,0,Sales staff,5
1000921,F,N,N,0,154500.0,State servant,Higher education,Married,With parents,-8640,-1148,0,0,1,Medicine staff,2
1000922,F,Y,Y,0,157100.0,Working,Secondary / secondary special,Married,House / apartment,-13655,-2034,0,1,0,Accountants,2
1000923,F,Y,Y,1,290400.0,Working,Higher education,Separated,Rented apartment,-12982,-8559,0,0,0,Accountants,2
1000924,F,N,N,0,40800.0,Student,Lower secondary,Married,Rented apartment,-19497,-262,0,0,0,Accountants,2
1000925,M,N,Y,0,115900.0,Working,Secondary / secondary special,Married,With parents,-9240,-93,1,0,0,Drivers,2
1000926,M,Y,Y,0,363900.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-10420,-8942,0,0,1,Managers,1
1000927,M,N,Y,1,85700.0,Working,Incomplete higher,Single / not married,With parents,-10765,-5696,0,1,0,High skill tech staff,2
1000928,F,N,Y,0,30000.0,Working,Secondary / secondary special,Married,House / apartment,-17070,-6639,0,0,0,High skill tech staff,2
1000929,F,N,Y,0,304600.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-8203,-7157,0,1,1,High skill tech staff,2
1000930,M,N,N,1,237400.0,Working,Secondary / secondary special,Married,House / apartment,-20959,-2447,0,0,1,Medicine staff,3
1000931,M,Y,Y,0,274800.0,Commercial associate,Lower secondary,Single / not married,House / apartment,-20795,-109,1,0,1,High skill tech staff,1
1000932,F,Y,N,3,65300.0,Pensioner,Lower secondary,Married,Municipal apartment,-11998,365243,1,1,0,Managers,5
1000933,F,N,Y,0,176300.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14349,-4090,1,0,0,Managers,1
1000934,F,Y,Y,1,162500.0,Working,Higher education,Single / not married,House / apartment,-17457,-1082,1,1,1,Drivers,2
1000935,M,N,N,0,146200.0,Working,Secondary / secondary special,Married,House / apartment,-16201,-3097,0,0,1,Accountants,2
1000936,M,N,N,1,179300.0,Pensioner,Higher education,Married,House / apartment,-8308,365243,0,1,0,Laborers,3
1000937,M,Y,Y,1,152100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13155,-1721,0,1,1,Laborers,3
1000938,F,N,Y,2,133300.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,-8177,365243,1,1,0,Drivers,4
1000939,M,N,Y,0,255200.0,Working,Incomplete higher,Single / not married,Office apartment,-15226,-7648,0,1,0,Drivers,1
1000940,F,Y,Y,0,204000.0,Working,Secondary / secondary special,Single / not married,Rented apartment,-10978,-5767,0,0,1,Laborers,1
1000941,M,N,Y,1,258200.0,Working,Secondary / secondary special,Married,House / apartment,-22889,-5109,0,1,0,Accountants,3
1000942,F,N,N,0,215500.0,Working,Incomplete higher,Separated,Office apartment,-13618,-2351,0,0,0,Accountants,1
1000943,F,N,Y,0,276100.0,Commercial associate,Higher education,Married,House / apartment,-11687,-3021,1,0,0,Managers,2
1000944,F,Y,N,3,180500.0,State servant,Higher education,Married,House / apartment,-10158,-7598,1,1,0,Core staff,5
1000945,M,N,Y,0,218600.0,Working,Lower secondary,Married,House / apartment,-10839,-2318,0,1,0,Core staff,2
1000946,M,N,Y,4,138400.0,State servant,Higher education,Married,Rented apartment,-24173,-3431,0,1,0,Managers,6
1000947,M,Y,Y,0,98000.0,Working,Secondary / secondary special,Married,House / apartment,-10965,-8886,0,1,0,Core staff,2
1000948,F,Y,Y,1,213400.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-13442,-1548,1,0,0,Laborers,3
1000949,F,N,N,1,253200.0,Working,Secondary / secondary special,Married,With parents,-7951,-2255,0,1,0,Laborers,3
1000950,F,Y,Y,0,174100.0,State servant,Secondary / secondary special,Separated,House / apartment,-10680,-2023,0,0,0,Medicine staff,1
1000951,F,N,Y,3,145500.0,Working,Higher education,Married,House / apartment,-12166,-5190,0,0,0,Core staff,5
1000952,F,N,N,0,72800.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-25045,-290,0,0,0,Other,1
1000953,M,N,Y,2,185400.0,Working,Secondary / secondary special,Separated,With parents,-13168,-1315,0,0,0,Core staff,3
1000954,F,Y,Y,1,95000.0,Working,Secondary / secondary special,Married,House / apartment,-19785,-416,1,1,0,Managers,3
1000955,M,N,Y,0,86200.0,Working,Secondary / secondary special,Married,With parents,-22588,-8522,0,0,1,Accountants,2
1000956,M,Y,N,2,178700.0,Working,Higher education,Married,Municipal apartment,-18368,-1283,0,1,0,Accountants,4
1000957,F,N,N,0,175800.0,Commercial associate,Secondary / secondary special,Widow,Co-op apartment,-12215,-5850,1,0,1,Medicine staff,1
1000958,M,N,N,2,179300.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-10253,-2823,0,0,1,Sales staff,3
1000959,M,N,Y,0,226600.0,Commercial associate,Academic degree,Single / not married,House / apartment,-11576,-6349,0,0,1,Laborers,1
1000960,F,N,N,2,189000.0,Commercial associate,Higher education,Single / not married,House / apartment,-25489,-8629,0,0,0,Managers,3
1000961,M,N,Y,1,72600.0,Working,Higher education,Married,House / apartment,-18802,-439,0,1,0,Sales staff,3
1000962,F,Y,Y,0,168400.0,Commercial associate,Higher education,Married,Rented apartment,-23045,-8398,0,0,0,Managers,2
1000963,M,N,N,1,128600.0,Working,Higher education,Married,Rented apartment,-11323,-1781,0,0,0,High skill tech staff,3
1000964,M,N,Y,0,68500.0,Pensioner,Secondary / secondary special,Married,Rented apartment,-24952,365243,0,0,0,Laborers,2
1000965,M,Y,Y,0,159300.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10046,-6917,1,0,1,Laborers,2
1000966,M,Y,Y,0,143600.0,Commercial associate,Higher education,Single / not married,House / apartment,-7680,-5025,0,1,0,Core staff,1
1000967,F,N,Y,0,169700.0,Working,Secondary / secondary special,Widow,House / apartment,-15881,-8270,1,1,0,Sales staff,1
1000968,M,Y,N,0,195100.0,Working,Secondary / secondary special,Married,House / apartment,-19163,-6985,0,0,0,Drivers,2
1000969,F,N,Y,0,128000.0,Working,Secondary / secondary special,Married,Rented apartment,-12967,-3898,0,0,1,Other,2
1000970,F,N,Y,0,206800.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-13953,-311,0,0,0,High skill tech staff,2
1000971,F,Y,Y,0,94200.0,Working,Lower secondary,Married,House / apartment,-17694,-8690,0,1,0,Drivers,2
1000972,F,N,N,0,109900.0,Working,Secondary / secondary special,Married,House / apartment,-12501,-1264,0,0,1,Medicine staff,2
1000973,F,Y,N,1,115200.0,Pensioner,Secondary / secondary special,Married,House / apartment,-12335,365243,1,1,1,Laborers,3
1000974,M,N,Y,1,223300.0,Working,Higher education,Married,House / apartment,-19771,-7324,0,1,0,Accountants,3
1000975,M,N,N,0,156400.0,Pensioner,Higher education,Widow,Rented apartment,-14632,365243,0,1,0,Medicine staff,1
1000976,M,N,N,2,281600.0,Working,Higher education,Married,House / apartment,-16202,-3418,1,1,0,Other,4
1000977,F,N,Y,1,156300.0,Working,Secondary / secondary special,Separated,House / apartment,-17860,-4421,1,0,0,Other,2
1000978,M,N,Y,1,229300.0,Commercial associate,Higher education,Separated,House / apartment,-11676,-6787,1,0,1,Medicine staff,2
1000979,F,N,Y,0,114900.0,Working,Higher education,Married,House / apartment,-17642,-2799,0,0,0,Sales staff,2
1000980,F,Y,N,0,101000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-15444,-2927,0,0,1,High skill tech staff,1
1000981,M,Y,Y,2,259200.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18606,-3961,0,0,0,Drivers,4
1000982,F,N,Y,2,131100.0,Working,Lower secondary,Married,House / apartment,-21249,-5238,1,0,0,Sales staff,4
1000983,M,N,Y,0,343500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-13746,-9068,0,1,0,Core staff,1
1000984,M,N,N,0,87900.0,Working,Secondary / secondary special,Married,Rented apartment,-15465,-8461,1,0,1,Core staff,2
1000985,F,N,Y,1,210600.0,Working,Secondary / secondary special,Married,House / apartment,-8029,-3088,0,1,0,Managers,3
1000986,F,Y,N,1,77800.0,Pensioner,Secondary / secondary special,Married,House / apartment,-14694,365243,0,0,0,Other,3
1000987,F,N,N,2,171100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-9388,-8403,0,0,0,Core staff,4
1000988,M,N,Y,0,214000.0,Working,Secondary / secondary special,Married,With parents,-19485,-2937,0,0,0,Drivers,2
1000989,M,Y,Y,0,91600.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23812,365243,0,1,0,Medicine staff,2
1000990,F,Y,Y,0,131100.0,State servant,Secondary / secondary special,Married,House / apartment,-7901,-6911,1,1,0,Core staff,2
1000991,F,N,N,0,171800.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-23418,-3239,0,0,0,Accountants,1
1000992,F,Y,Y,0,292500.0,Working,Higher education,Married,House / apartment,-10921,-6543,0,0,0,High skill tech staff,2
1000993,M,Y,Y,2,125400.0,State servant,Higher education,Married,House / apartment,-19154,-7992,0,1,0,Laborers,4
1000994,F,Y,Y,0,183200.0,Working,Secondary / secondary special,Married,House / apartment,-16849,-522,1,0,0,Accountants,2
1000995,M,N,Y,2,167300.0,Working,Academic degree,Single / not married,House / apartment,-23893,-2942,0,0,0,Other,3
1000996,M,N,N,0,193900.0,Working,Higher education,Single / not married,Rented apartment,-22681,-6830,1,1,0,Laborers,1
1000997,F,N,N,0,188400.0,Commercial associate,Higher education,Widow,Rented apartment,-25047,-6289,1,0,0,Core staff,1
1000998,M,N,N,0,148800.0,State servant,Secondary / secondary special,Single / not married,Municipal apartment,-9737,-875,0,1,1,Accountants,1
1000999,F,Y,Y,0,273100.0,Commercial associate,Incomplete higher,Married,Municipal apartment,-18581,-150,1,0,0,Laborers,2
1001000,M,N,Y,2,111700.0,State servant,Lower secondary,Married,House / apartment,-21935,-5083,0,1,1,Core staff,4
1001001,M,Y,N,0,248600.0,Working,Secondary / secondary special,Married,House / apartment,-16027,-4036,0,1,0,Sales staff,2
1001002,F,Y,Y,0,254700.0,Working,Higher education,Single / not married,House / apartment,-21633,-8952,0,1,0,Core staff,1
1001003,F,N,N,0,290900.0,Commercial associate,Higher education,Married,House / apartment,-16493,-1883,0,0,0,Core staff,2
1001004,F,N,Y,0,163900.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-16565,-4204,0,0,0,Core staff,1
1001005,F,Y,Y,1,30000.0,Working,Higher education,Separated,Municipal apartment,-12244,-7543,0,1,0,Accountants,2
1001006,F,Y,N,0,206700.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16691,-5685,0,0,0,Managers,1
1001007,F,N,N,1,155300.0,Working,Secondary / secondary special,Single / not married,House / apartment,-13512,-4946,0,1,0,Managers,2
1001008,F,Y,N,1,164500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-23421,-769,0,1,0,Medicine staff,3
1001009,M,Y,Y,0,60500.0,Working,Higher education,Married,House / apartment,-17294,-4414,1,1,0,Drivers,2
1001010,F,Y,Y,0,211100.0,Working,Higher education,Married,Municipal apartment,-11647,-5986,0,0,0,Laborers,2
1001011,M,Y,Y,1,78900.0,State servant,Lower secondary,Married,House / apartment,-9850,-6502,0,0,0,Core staff,3
1001012,F,N,Y,1,187500.0,Working,Higher education,Married,Rented apartment,-13116,-901,0,0,0,Sales staff,3
1001013,F,Y,N,0,316000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-20914,-7204,1,0,0,Managers,1
1001014,M,Y,Y,0,150400.0,Working,Secondary / secondary special,Married,Rented apartment,-19151,-8063,0,0,1,Other,2
1001015,F,N,N,0,256600.0,Working,Incomplete higher,Single / not married,House / apartment,-24877,-3272,0,0,0,Drivers,1
1001016,F,N,Y,0,177300.0,Commercial associate,Higher education,Single / not married,House / apartment,-16403,-8060,0,1,0,High skill tech staff,1
1001017,M,Y,N,0,145200.0,Pensioner,Higher education,Single / not married,Co-op apartment,-11322,365243,1,1,0,Sales staff,1
1001018,F,Y,Y,0,130400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-22992,-8593,1,0,0,Core staff,2
1001019,F,Y,Y,0,163300.0,Pensioner,Higher education,Married,House / apartment,-17948,365243,0,1,0,Core staff,2
1001020,M,N,N,0,156800.0,Pensioner,Secondary / secondary special,Married,House / apartment,-10527,365243,1,1,0,High skill tech staff,2
1001021,F,N,Y,0,209500.0,Working,Secondary / secondary special,Separated,House / apartment,-21131,-1882,1,0,0,High skill tech staff,1
1001022,M,N,N,2,155200.0,Working,Higher education,Married,House / apartment,-11227,-8765,1,0,0,Accountants,4
1001023,F,N,N,1,122200.0,Commercial associate,Higher education,Married,House / apartment,-11140,-526,1,1,0,Other,3
1001024,F,N,N,3,155400.0,Working,Secondary / secondary special,Married,House / apartment,-7886,-6508,0,0,0,Sales staff,5
1001025,F,N,Y,0,249900.0,Working,Incomplete higher,Married,Rented apartment,-23803,-2393,1,0,0,Accountants,2
1001026,F,N,Y,1,188200.0,Working,Secondary / secondary special,Married,Municipal apartment,-15731,-8681,1,0,0,Accountants,3
1001027,F,Y,Y,0,82200.0,Working,Secondary / secondary special,Widow,House / apartment,-14057,-6907,0,1,0,Medicine staff,1
1001028,F,N,Y,1,97000.0,State servant,Lower secondary,Single / not married,Municipal apartment,-15842,-1461,0,0,0,Drivers,2
1001029,M,Y,Y,0,258900.0,Working,Secondary / secondary special,Separated,House / apartment,-9219,-7380,1,1,0,Sales staff,1
1001030,F,Y,Y,0,210700.0,Working,Incomplete higher,Married,House / apartment,-24934,-6420,0,0,0,Core staff,2
1001031,M,N,Y,3,136300.0,Commercial associate,Incomplete higher,Married,With parents,-21342,-8400,1,1,0,Managers,5
1001032,F,Y,Y,1,91700.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-18736,-7702,1,0,0,Medicine staff,2
1001033,M,N,Y,3,187500.0,Commercial associate,Higher education,Civil marriage,House / apartment,-22943,-7574,0,1,1,Drivers,5
1001034,M,N,Y,0,56300.0,State servant,Secondary / secondary special,Married,With parents,-21738,-4403,0,1,1,Laborers,2
1001035,M,N,Y,0,113500.0,Pensioner,Secondary / secondary special,Separated,Co-op apartment,-14764,365243,0,1,0,Sales staff,1
1001036,F,N,N,0,445900.0,Commercial associate,Higher education,Widow,House / apartment,-18106,-7680,0,1,1,Drivers,1
1001037,M,Y,Y,1,79400.0,Working,Secondary / secondary special,Married,House / apartment,-25078,-7473,0,1,1,High skill tech staff,3
1001038,F,N,Y,1,168300.0,Working,Secondary / secondary special,Married,House / apartment,-19421,-1346,0,0,0,Core staff,3
1001039,M,N,Y,3,350200.0,Commercial associate,Higher education,Married,House / apartment,-21609,-7325,0,1,0,Medicine staff,5
